Program,Function,Count,CPU_Percent,Memory_KB,IO_Read_KB,IO_Write_KB,Exec_Time_Real,Exec_Time_User,Exec_Time_Sys
Program_A,cpu,2,196,1664,0,0,.13,0.25,0.00
Program_A,cpu,3,288,1792,0,0,.13,0.38,0.00
Program_A,cpu,4,384,1664,0,0,.15,0.60,0.00
Program_A,cpu,5,325,1792,0,0,.21,0.68,0.01
Program_A,mem,2,199,33792,0,0,25.46,50.83,0.05
Program_A,mem,3,299,33792,0,0,32.21,96.36,0.07
Program_A,mem,4,397,33920,0,0,44.74,177.84,0.10
Program_A,mem,5,376,33664,0,0,52.77,198.79,0.13
Program_A,io,2,23,2048,0,4096000,20.18,0.03,4.69
Program_A,io,3,36,2048,0,6144000,21.74,0.04,7.81
Program_A,io,4,47,2048,0,8192000,22.43,0.08,10.49
Program_A,io,5,41,2048,0,10240000,30.95,0.02,12.78
Program_B,cpu,2,195,2048,0,0,.12,0.23,0.00
Program_B,cpu,3,286,2176,0,0,.13,0.37,0.00
Program_B,cpu,4,381,2304,0,0,.14,0.54,0.00
Program_B,cpu,5,322,2304,0,0,.22,0.71,0.00
Program_B,cpu,6,368,2176,0,0,.25,0.93,0.00
Program_B,cpu,7,361,2176,0,0,.27,0.98,0.00
Program_B,cpu,8,361,2304,0,0,.31,1.12,0.00
Program_B,mem,2,199,67200,0,0,28.07,55.99,0.04
Program_B,mem,3,299,99840,0,0,35.19,105.44,0.07
Program_B,mem,4,398,132992,0,0,45.99,183.16,0.10
Program_B,mem,5,377,165632,0,0,60.01,226.38,0.27
Program_B,mem,6,399,198272,0,0,69.40,276.61,0.32
Program_B,mem,7,398,231168,0,0,87.99,350.47,0.36
Program_B,mem,8,393,263808,0,0,101.64,399.03,0.64
Program_B,io,2,26,3712,0,4096000,19.42,0.02,5.13
Program_B,io,3,37,4864,0,6144000,21.62,0.02,8.12
Program_B,io,4,53,5888,0,8192000,23.01,0.04,12.14
Program_B,io,5,55,6784,0,10240000,27.99,0.10,15.32
Program_B,io,6,65,7808,0,12288000,29.05,0.07,19.04
Program_B,io,7,79,8832,0,14336000,29.97,0.15,23.57
Program_B,io,8,91,9856,0,16384000,31.31,0.09,28.55
